id,year_id,appearances,clean_sheet,draws,goals,losses,wins,yellow_card,goal_assist,red_card,own_goals
792,3,,,,,,,,,,
64,3,4.0,0.0,1.0,,1.0,2.0,,,,
350,3,23.0,1.0,4.0,,16.0,3.0,4.0,1.0,1.0,
522,3,31.0,6.0,13.0,1.0,9.0,9.0,12.0,,,
666,3,,,,,,,,,,
176,3,,,,,,,,,,
803,3,14.0,3.0,4.0,,7.0,3.0,1.0,2.0,,
768,3,30.0,9.0,7.0,2.0,13.0,10.0,7.0,6.0,,
211,3,25.0,0.0,4.0,2.0,18.0,3.0,4.0,1.0,,
7,3,15.0,3.0,4.0,1.0,7.0,4.0,,,,
782,3,42.0,13.0,11.0,,18.0,13.0,1.0,,,
713,3,6.0,2.0,1.0,,3.0,2.0,,,,
168,3,12.0,0.0,2.0,1.0,7.0,3.0,,1.0,,
267,3,14.0,2.0,2.0,2.0,5.0,7.0,,3.0,,
920,3,,,,,,,,,,
680,3,28.0,9.0,9.0,,11.0,8.0,6.0,1.0,,
143,3,30.0,12.0,11.0,11.0,9.0,10.0,,3.0,,
662,3,,,,,,,,,,
102,3,10.0,1.0,3.0,,6.0,1.0,1.0,1.0,,
554,3,17.0,0.0,3.0,,6.0,8.0,,2.0,,
86,3,12.0,1.0,2.0,,3.0,7.0,1.0,,,
253,3,4.0,2.0,,,,4.0,,,,
601,3,,,,,,,,,,
231,3,35.0,9.0,9.0,3.0,16.0,10.0,6.0,2.0,,
110,3,30.0,7.0,9.0,1.0,11.0,10.0,,2.0,,
313,3,,,,,,,,,,
162,3,35.0,11.0,11.0,3.0,15.0,9.0,5.0,3.0,1.0,
953,3,42.0,14.0,12.0,3.0,17.0,13.0,4.0,,,
8,3,,,,,,,,,,
931,3,1.0,0.0,1.0,,,,1.0,,,
34,3,,,,,,,,,,
883,3,3.0,0.0,,,1.0,2.0,,1.0,,
910,3,6.0,0.0,1.0,,4.0,1.0,,,,
202,3,12.0,0.0,,,10.0,2.0,2.0,,,
320,3,42.0,24.0,10.0,2.0,6.0,26.0,,2.0,,
958,3,1.0,0.0,1.0,,,,,,,
902,3,14.0,1.0,3.0,1.0,9.0,2.0,1.0,,,
122,3,33.0,11.0,10.0,,13.0,10.0,,1.0,,
48,3,28.0,3.0,10.0,3.0,15.0,3.0,1.0,6.0,,
671,3,38.0,11.0,12.0,4.0,13.0,13.0,4.0,8.0,,
19,3,30.0,5.0,10.0,,11.0,9.0,,1.0,,
981,3,17.0,2.0,3.0,1.0,10.0,4.0,1.0,2.0,,
96,3,28.0,8.0,5.0,,5.0,18.0,2.0,,,
265,3,,,,,,,,,,
398,3,41.0,13.0,10.0,,9.0,22.0,3.0,1.0,1.0,1.0
659,3,1.0,0.0,,,1.0,,,,,
961,3,,,,,,,,,,
465,3,19.0,0.0,5.0,3.0,7.0,7.0,1.0,,,
483,3,27.0,11.0,9.0,,5.0,13.0,7.0,1.0,,
862,3,34.0,11.0,10.0,3.0,14.0,10.0,5.0,6.0,,
977,3,22.0,5.0,8.0,1.0,10.0,4.0,8.0,,,
587,3,22.0,6.0,5.0,,7.0,10.0,3.0,,,
152,3,35.0,11.0,9.0,1.0,16.0,10.0,5.0,,,
224,3,,,,,,,,,,
937,3,35.0,11.0,10.0,1.0,7.0,18.0,7.0,1.0,,
923,3,,,,,,,,,,
94,3,,,,,,,,,,
665,3,,,,,,,,,,
954,3,29.0,3.0,9.0,3.0,13.0,7.0,3.0,2.0,,
627,3,37.0,10.0,11.0,22.0,6.0,20.0,4.0,6.0,,
864,3,11.0,0.0,5.0,,4.0,2.0,,,,
193,3,34.0,7.0,9.0,13.0,15.0,10.0,1.0,3.0,1.0,
411,3,10.0,1.0,3.0,,3.0,4.0,,,,
725,3,36.0,18.0,11.0,21.0,4.0,21.0,3.0,5.0,,
693,3,4.0,1.0,1.0,,1.0,2.0,1.0,,,
927,3,,,,,,,,,,
755,3,25.0,3.0,7.0,1.0,8.0,10.0,1.0,1.0,,
690,3,2.0,0.0,,,2.0,,,,,
449,3,,,,,,,,,,
723,3,19.0,4.0,7.0,1.0,7.0,5.0,,2.0,,
906,3,37.0,3.0,10.0,9.0,22.0,5.0,2.0,2.0,,
940,3,,,,,,,,,,
394,3,42.0,13.0,11.0,,9.0,22.0,1.0,2.0,,
387,3,17.0,1.0,5.0,4.0,8.0,4.0,,,,
382,3,34.0,6.0,9.0,,15.0,10.0,6.0,4.0,,
972,3,28.0,9.0,8.0,,9.0,11.0,1.0,,,
797,3,,,,,,,,,,
547,3,,,,,,,,,,
917,3,,,,,,,,,,
678,3,29.0,9.0,10.0,,11.0,8.0,5.0,,,1.0
91,3,13.0,4.0,4.0,,4.0,5.0,,,,
929,3,,,,,,,,,,
684,3,2.0,0.0,,,2.0,,1.0,,,
840,3,,,,,,,,,,
282,3,31.0,8.0,8.0,2.0,11.0,12.0,5.0,,,
65,3,,,,,,,,,,
742,3,9.0,3.0,,3.0,3.0,6.0,,,,
21,3,4.0,1.0,1.0,1.0,2.0,1.0,1.0,,,
