id,year_id,appearances,clean_sheet,draws,goals,goal_assist,losses,red_card,wins,yellow_card,own_goals
1255,8,15.0,0.0,3.0,,1.0,6.0,,6.0,1.0,
1617,8,,,,,,,,,,
186,8,7.0,1.0,1.0,,,3.0,,3.0,,
560,8,,,,,,,,,,
1638,8,,,,,,,,,,
1729,8,,,,,,,,,,
1371,8,24.0,5.0,7.0,1.0,,12.0,,5.0,3.0,
890,8,10.0,2.0,2.0,,,5.0,,3.0,1.0,
1097,8,,,,,,,,,,
272,8,31.0,7.0,12.0,6.0,4.0,9.0,1.0,10.0,7.0,
108,8,14.0,2.0,2.0,1.0,1.0,3.0,,9.0,1.0,
842,8,13.0,2.0,5.0,1.0,3.0,5.0,,3.0,1.0,
75285,8,,,,,,,,,,
1514,8,1.0,0.0,,,,1.0,,,,
326,8,32.0,8.0,7.0,3.0,1.0,12.0,,13.0,8.0,1.0
714,8,9.0,2.0,1.0,,,4.0,,4.0,1.0,
1082,8,34.0,1.0,5.0,2.0,3.0,9.0,,20.0,,
1678,8,9.0,2.0,3.0,,1.0,4.0,,2.0,,
1790,8,34.0,5.0,6.0,3.0,4.0,23.0,1.0,5.0,7.0,
1750,8,,,,,,,,,,
453,8,29.0,6.0,5.0,1.0,2.0,11.0,,13.0,,
1710,8,38.0,15.0,10.0,2.0,2.0,9.0,,19.0,2.0,
315,8,25.0,7.0,6.0,3.0,1.0,3.0,,16.0,1.0,
1277,8,36.0,6.0,8.0,14.0,8.0,14.0,,14.0,5.0,
1548,8,2.0,0.0,1.0,,,1.0,,,,
670,8,32.0,7.0,4.0,8.0,3.0,14.0,,14.0,3.0,
1785,8,9.0,0.0,,,,8.0,,1.0,1.0,
75297,8,,,,,,,,,,
1822,8,,,,,,,,,,
1402,8,21.0,2.0,7.0,6.0,6.0,7.0,1.0,7.0,,
1455,8,31.0,8.0,7.0,,,15.0,,9.0,,
994,8,,,,,,,,,,
1072,8,28.0,4.0,9.0,4.0,2.0,10.0,,9.0,1.0,
1615,8,30.0,6.0,6.0,3.0,8.0,16.0,,8.0,4.0,
1210,8,3.0,0.0,,,,,,3.0,,
1303,8,2.0,0.0,,,,1.0,,1.0,,
1621,8,32.0,5.0,8.0,5.0,1.0,17.0,,7.0,9.0,
1805,8,8.0,2.0,1.0,2.0,1.0,4.0,,3.0,1.0,
1283,8,9.0,0.0,2.0,,,6.0,,1.0,1.0,
1731,8,3.0,1.0,2.0,,,1.0,,,,
1681,8,,,,,,,,,,
1692,8,31.0,6.0,7.0,12.0,4.0,14.0,,10.0,3.0,
1669,8,,,,,,,,,,
1439,8,21.0,0.0,6.0,,3.0,6.0,,9.0,1.0,
1757,8,20.0,0.0,6.0,1.0,1.0,9.0,,5.0,2.0,
1572,8,,,,,,,,,,
