id,year_id,appearances,clean_sheet,losses,wins,draws,goals,yellow_card,goal_assist,own_goals,red_card
2466,13,,,,,,,,,,
2463,13,28.0,6.0,15.0,9.0,4.0,1.0,5.0,,,
1658,13,11.0,0.0,5.0,2.0,4.0,1.0,,,,1.0
2297,13,,,,,,,,,,
2762,13,,,,,,,,,,
1734,13,,,,,,,,,,
2754,13,14.0,3.0,6.0,4.0,4.0,,,,,
2820,13,,,,,,,,,,
2669,13,27.0,7.0,14.0,6.0,7.0,,2.0,1.0,1.0,
1190,13,27.0,2.0,9.0,9.0,9.0,3.0,5.0,3.0,,2.0
1890,13,19.0,3.0,6.0,6.0,7.0,1.0,2.0,1.0,1.0,
1458,13,15.0,9.0,1.0,11.0,3.0,,,,,
2144,13,3.0,0.0,2.0,1.0,,,1.0,,,
1904,13,,,,,,,,,,
1270,13,,,,,,,,,,
2764,13,,,,,,,,,,
2143,13,,,,,,,,,,
1211,13,21.0,9.0,3.0,14.0,4.0,1.0,1.0,,,1.0
2533,13,,,,,,,,,,
2624,13,,,,,,,,,,
2469,13,,,,,,,,,,
2620,13,,,,,,,,,,
2743,13,,,,,,,,,,
2590,13,13.0,2.0,6.0,3.0,4.0,4.0,2.0,,,
2539,13,,,,,,,,,,
2052,13,,,,,,,,,,
2674,13,7.0,0.0,3.0,1.0,3.0,,2.0,,,
1847,13,,,,,,,,,,
557,13,16.0,8.0,5.0,10.0,1.0,1.0,1.0,,,
332,13,18.0,0.0,8.0,4.0,6.0,1.0,3.0,1.0,,
776,13,26.0,4.0,9.0,7.0,10.0,1.0,5.0,1.0,1.0,
2293,13,,,,,,,,,,
2426,13,,,,,,,,,,
2058,13,27.0,2.0,8.0,9.0,10.0,3.0,1.0,4.0,,
2802,13,23.0,8.0,10.0,7.0,6.0,1.0,4.0,1.0,,
1922,13,,,,,,,,,,
19,13,33.0,7.0,10.0,13.0,10.0,,10.0,,,1.0
1623,13,,,,,,,,,,
2654,13,29.0,21.0,1.0,23.0,5.0,,2.0,,,
2630,13,14.0,0.0,5.0,5.0,4.0,4.0,2.0,2.0,,
96,13,11.0,2.0,6.0,2.0,3.0,,,,,1.0
1948,13,19.0,5.0,6.0,7.0,6.0,,,,,
2760,13,,,,,,,,,,
1518,13,4.0,1.0,,3.0,1.0,,1.0,,,
2752,13,,,,,,,,,,
587,13,19.0,5.0,7.0,4.0,8.0,1.0,4.0,,,1.0
2808,13,24.0,9.0,9.0,9.0,6.0,1.0,3.0,1.0,,
1495,13,19.0,1.0,4.0,10.0,5.0,,3.0,3.0,,
2714,13,12.0,2.0,6.0,3.0,3.0,,1.0,,,
921,13,19.0,5.0,2.0,13.0,4.0,,3.0,,,
2048,13,27.0,1.0,10.0,11.0,6.0,6.0,,1.0,,
1096,13,28.0,4.0,12.0,9.0,7.0,,2.0,5.0,,
2372,13,,,,,,,,,,
2737,13,,,,,,,,,,
2231,13,1.0,0.0,,1.0,,,,,,
8273,13,,,,,,,,,,
1768,13,30.0,3.0,16.0,4.0,10.0,10.0,3.0,1.0,,
2554,13,,,,,,,,,,
2330,13,,,,,,,,,,
891,13,2.0,0.0,,,2.0,,,,,
1433,13,33.0,10.0,12.0,14.0,7.0,,2.0,1.0,,
2706,13,,,,,,,,,,
