id,year_id,appearances,clean_sheet,draws,goals,losses,wins,yellow_card,goal_assist,own_goals,red_card
684,5,35.0,6.0,12.0,1.0,14.0,9.0,6.0,1.0,,
620,5,14.0,1.0,4.0,1.0,9.0,1.0,5.0,,,
60,5,34.0,5.0,15.0,3.0,14.0,5.0,,3.0,,
586,5,15.0,3.0,2.0,,7.0,6.0,,1.0,,
558,5,17.0,3.0,6.0,1.0,3.0,8.0,2.0,,,
336,5,24.0,5.0,7.0,3.0,4.0,13.0,6.0,,,
1218,5,7.0,1.0,2.0,,1.0,4.0,,,,
660,5,17.0,7.0,3.0,,3.0,11.0,1.0,,,
307,5,36.0,14.0,11.0,,5.0,20.0,2.0,1.0,,
1,5,22.0,10.0,5.0,,5.0,12.0,,1.0,,
310,5,2.0,0.0,,,2.0,,,,,
1258,5,15.0,4.0,4.0,1.0,8.0,3.0,2.0,1.0,,1.0
20,5,1.0,0.0,,,,1.0,,,,
328,5,26.0,11.0,8.0,5.0,9.0,9.0,1.0,1.0,,
24,5,8.0,0.0,2.0,2.0,2.0,4.0,,2.0,,
510,5,2.0,0.0,,,1.0,1.0,,,,
576,5,29.0,11.0,6.0,7.0,12.0,11.0,6.0,7.0,,
1287,5,1.0,0.0,,,1.0,,,,,
78,5,37.0,9.0,14.0,3.0,14.0,9.0,7.0,5.0,,1.0
116,5,10.0,2.0,3.0,1.0,5.0,2.0,,2.0,,
1032,5,,,,,,,,,,
941,5,,,,,,,,,,
103,5,20.0,3.0,4.0,1.0,8.0,8.0,6.0,,1.0,
1171,5,19.0,0.0,6.0,2.0,9.0,4.0,,,,
1170,5,2.0,0.0,,,1.0,1.0,,,,
854,5,33.0,4.0,9.0,2.0,14.0,10.0,6.0,3.0,,
1088,5,2.0,0.0,2.0,,,,,,,
1217,5,33.0,5.0,10.0,18.0,5.0,18.0,2.0,4.0,,
172,5,34.0,8.0,11.0,,14.0,9.0,2.0,,,
153,5,28.0,12.0,8.0,1.0,9.0,11.0,,,,
239,5,37.0,9.0,12.0,9.0,16.0,9.0,6.0,1.0,,
1037,5,23.0,5.0,9.0,2.0,8.0,6.0,7.0,,1.0,
41,5,30.0,12.0,9.0,2.0,6.0,15.0,4.0,1.0,1.0,1.0
359,5,24.0,3.0,7.0,1.0,12.0,5.0,1.0,2.0,,
117,5,4.0,0.0,2.0,,2.0,,1.0,1.0,,
708,5,22.0,9.0,6.0,,5.0,11.0,,,,
276,5,24.0,7.0,7.0,4.0,12.0,5.0,3.0,,,2.0
1095,5,28.0,6.0,9.0,2.0,8.0,11.0,6.0,1.0,,
674,5,,,,,,,,,,
456,5,33.0,8.0,7.0,6.0,16.0,10.0,5.0,2.0,,
1114,5,22.0,3.0,8.0,1.0,9.0,5.0,1.0,1.0,,
1248,5,,,,,,,,,,
1191,5,4.0,0.0,3.0,,1.0,,,,,
905,5,15.0,0.0,4.0,,5.0,6.0,1.0,1.0,,
1169,5,36.0,6.0,12.0,1.0,14.0,10.0,2.0,1.0,1.0,
846,5,,,,,,,,,,
70,5,26.0,10.0,9.0,1.0,8.0,9.0,6.0,2.0,,
913,5,,,,,,,,,,
1152,5,1.0,0.0,,,,1.0,,,,
1164,5,21.0,4.0,7.0,1.0,9.0,5.0,11.0,2.0,,
1071,5,5.0,1.0,1.0,,3.0,1.0,1.0,,,
225,5,15.0,5.0,6.0,,3.0,6.0,,,,
895,5,6.0,0.0,3.0,,2.0,1.0,,,,
293,5,7.0,3.0,3.0,,2.0,2.0,,1.0,,
996,5,,,,,,,,,,
549,5,1.0,0.0,,,,1.0,,,,
757,5,37.0,8.0,11.0,4.0,16.0,10.0,3.0,1.0,,
533,5,31.0,4.0,10.0,13.0,14.0,7.0,5.0,,,
1246,5,29.0,7.0,8.0,,12.0,9.0,5.0,3.0,,
12,5,11.0,3.0,3.0,1.0,2.0,6.0,2.0,,,
68,5,6.0,2.0,3.0,,3.0,,1.0,,,
1109,5,1.0,1.0,,,,1.0,,,,
530,5,18.0,2.0,2.0,1.0,11.0,5.0,4.0,,,
22,5,2.0,0.0,1.0,,1.0,,,,,
973,5,27.0,4.0,8.0,5.0,8.0,11.0,,2.0,,
1165,5,10.0,0.0,3.0,,4.0,3.0,1.0,,,
780,5,,,,,,,,,,
259,5,26.0,9.0,9.0,,5.0,12.0,1.0,1.0,,
1192,5,6.0,2.0,5.0,,1.0,,,,,
1046,5,,,,,,,,,,
1052,5,37.0,12.0,11.0,1.0,8.0,18.0,5.0,6.0,,
1199,5,35.0,9.0,10.0,1.0,14.0,11.0,6.0,4.0,,
1042,5,,,,,,,,,,
67,5,28.0,13.0,10.0,3.0,4.0,14.0,5.0,,,
1215,5,,,,,,,,,,
10,5,8.0,4.0,2.0,,2.0,4.0,1.0,,,
1148,5,26.0,6.0,8.0,6.0,7.0,11.0,7.0,1.0,,1.0
314,5,,,,,,,,,,
5,5,1.0,0.0,,,1.0,,,,,
226,5,1.0,1.0,1.0,,,,,,,
936,5,32.0,6.0,13.0,1.0,14.0,5.0,5.0,1.0,1.0,
146,5,37.0,19.0,12.0,,14.0,11.0,1.0,,1.0,
1003,5,25.0,7.0,10.0,1.0,8.0,7.0,11.0,,,
37,5,24.0,3.0,6.0,,11.0,7.0,2.0,,,
413,5,5.0,0.0,2.0,,1.0,2.0,,,,
156,5,,,,,,,,,,
271,5,37.0,12.0,10.0,7.0,8.0,19.0,5.0,6.0,,
337,5,19.0,0.0,6.0,,3.0,10.0,1.0,2.0,,
1113,5,,,,,,,,,,
23,5,32.0,10.0,10.0,6.0,7.0,15.0,1.0,5.0,,
1232,5,,,,,,,,,,
782,5,36.0,9.0,12.0,,15.0,9.0,,,,
1254,5,30.0,9.0,8.0,2.0,14.0,8.0,2.0,1.0,1.0,
995,5,30.0,11.0,9.0,10.0,8.0,13.0,6.0,1.0,,
1189,5,12.0,8.0,4.0,1.0,3.0,5.0,5.0,,,
612,5,12.0,4.0,5.0,4.0,3.0,4.0,1.0,,,
900,5,,,,,,,,,,
238,5,38.0,9.0,14.0,6.0,15.0,9.0,1.0,9.0,,
53,5,,,,,,,,,,
855,5,25.0,2.0,7.0,4.0,9.0,9.0,6.0,3.0,1.0,
768,5,27.0,5.0,9.0,2.0,9.0,9.0,8.0,1.0,,
522,5,13.0,1.0,2.0,,10.0,1.0,5.0,,,
2,5,10.0,1.0,3.0,,4.0,3.0,1.0,,,
1278,5,3.0,0.0,1.0,1.0,2.0,,,,,
1027,5,12.0,1.0,4.0,,4.0,4.0,1.0,,,
176,5,,,,,,,,,,
7,5,14.0,2.0,3.0,,3.0,8.0,1.0,1.0,,
1243,5,3.0,1.0,2.0,,,1.0,,,,
920,5,,,,,,,,,,
662,5,1.0,0.0,,,1.0,,,,,
1264,5,10.0,2.0,2.0,1.0,6.0,2.0,2.0,,,
1213,5,,,,,,,,,,
143,5,20.0,1.0,10.0,1.0,6.0,4.0,1.0,,,
1139,5,34.0,16.0,10.0,,8.0,16.0,7.0,,,
102,5,18.0,3.0,4.0,1.0,6.0,8.0,4.0,,1.0,
713,5,29.0,7.0,9.0,0.0,12.0,8.0,4.0,3.0,1.0,
554,5,9.0,0.0,1.0,,4.0,4.0,2.0,,,
86,5,7.0,1.0,1.0,,5.0,1.0,2.0,,,
601,5,,,,,,,,,,
231,5,10.0,3.0,5.0,1.0,1.0,4.0,1.0,,,
363,5,31.0,5.0,11.0,2.0,14.0,6.0,10.0,3.0,,
1029,5,8.0,1.0,1.0,,3.0,4.0,,,,
1275,5,29.0,7.0,3.0,6.0,15.0,11.0,6.0,3.0,,
953,5,38.0,9.0,15.0,1.0,9.0,14.0,1.0,2.0,,
110,5,15.0,2.0,3.0,,5.0,7.0,2.0,1.0,,
253,5,23.0,4.0,8.0,,7.0,8.0,,,1.0,
1041,5,,,,,,,,,,
1214,5,,,,,,,,,,
1073,5,,,,,,,,,,
313,5,1.0,0.0,1.0,,,,,,,
34,5,20.0,9.0,4.0,,6.0,10.0,,,,
1233,5,5.0,1.0,4.0,,1.0,,2.0,,,
1157,5,1.0,0.0,,,1.0,,,,,
958,5,28.0,2.0,9.0,3.0,11.0,8.0,,,,
122,5,38.0,8.0,14.0,,15.0,9.0,1.0,,,
1256,5,33.0,11.0,9.0,2.0,15.0,9.0,5.0,,,2.0
1116,5,1.0,0.0,,,1.0,,,,,
1250,5,30.0,5.0,9.0,9.0,12.0,9.0,3.0,4.0,,
1226,5,,,,,,,,,,
19,5,30.0,7.0,8.0,2.0,7.0,15.0,5.0,3.0,,
1202,5,32.0,2.0,8.0,11.0,14.0,10.0,2.0,5.0,,
1067,5,4.0,0.0,1.0,,,3.0,,,,
317,5,8.0,1.0,3.0,,3.0,2.0,1.0,,,
320,5,27.0,5.0,9.0,3.0,3.0,15.0,4.0,,,
1208,5,2.0,0.0,1.0,1.0,1.0,,,,,
1035,5,,,,,,,,,,
961,5,,,,,,,,,,
725,5,20.0,0.0,6.0,6.0,2.0,12.0,1.0,5.0,,
659,5,,,,,,,,,,
1146,5,1.0,0.0,,,,1.0,1.0,,,
1294,5,9.0,0.0,4.0,,3.0,2.0,,1.0,,
723,5,25.0,3.0,7.0,2.0,4.0,14.0,2.0,,,
