id,year_id,appearances,clean_sheet,draws,goals,goal_assist,losses,wins,yellow_card,own_goals,red_card
973,11,19.0,2.0,7.0,3.0,2.0,6.0,6.0,2.0,,
293,11,29.0,6.0,9.0,,2.0,12.0,8.0,3.0,,1.0
1114,11,30.0,3.0,8.0,2.0,6.0,13.0,9.0,1.0,,
706,11,33.0,4.0,9.0,4.0,5.0,12.0,12.0,10.0,,
1306,11,29.0,2.0,6.0,2.0,1.0,14.0,9.0,9.0,,
1497,11,20.0,6.0,4.0,6.0,1.0,5.0,11.0,,,
1959,11,11.0,0.0,4.0,2.0,,3.0,4.0,1.0,,
1650,11,17.0,4.0,2.0,,1.0,3.0,12.0,3.0,,
1246,11,33.0,10.0,11.0,,,10.0,12.0,2.0,,
2391,11,,,,,,,,,,
2277,11,,,,,,,,,,
2268,11,,,,,,,,,,
1215,11,5.0,0.0,1.0,,,3.0,1.0,,,
1967,11,13.0,2.0,4.0,,,7.0,2.0,,,
2022,11,2.0,0.0,2.0,,,,,,,
2319,11,34.0,3.0,8.0,9.0,6.0,14.0,12.0,3.0,,
2115,11,,,,,,,,,,
1735,11,,,,,,,,,,
2078,11,37.0,8.0,9.0,6.0,5.0,15.0,13.0,3.0,,
41,11,26.0,5.0,6.0,,1.0,10.0,10.0,6.0,,1.0
936,11,4.0,0.0,2.0,,,2.0,,,,
1903,11,19.0,0.0,2.0,1.0,,15.0,2.0,2.0,,1.0
1728,11,7.0,1.0,2.0,,,4.0,1.0,1.0,,
2086,11,28.0,5.0,7.0,4.0,1.0,14.0,7.0,2.0,1.0,1.0
2359,11,,,,,,,,,,
393,11,1.0,0.0,,,,1.0,,,,
364,11,,,,,,,,,,
146,11,,,,,,,,,,
67,11,1.0,0.0,,,,,1.0,,,
2166,11,,,,,,,,,,
2071,11,,,,,,,,,,
812,11,30.0,10.0,11.0,1.0,3.0,9.0,10.0,8.0,,
2402,11,8.0,0.0,2.0,4.0,1.0,2.0,4.0,,,
1756,11,24.0,3.0,4.0,,,18.0,2.0,5.0,,
1042,11,30.0,5.0,6.0,1.0,2.0,21.0,3.0,11.0,,
2222,11,,,,,,,,,,
2261,11,,,,,,,,,,
2324,11,,,,,,,,,,
1885,11,,,,,,,,,,
1509,11,,,,,,,,,,
1662,11,,,,,,,,,,
1438,11,1.0,0.0,,,,,1.0,,,
2374,11,29.0,3.0,7.0,2.0,3.0,19.0,3.0,5.0,,1.0
1052,11,9.0,2.0,2.0,1.0,1.0,6.0,1.0,3.0,,
2395,11,,,,,,,,,,
2340,11,,,,,,,,,,
2331,11,,,,,,,,,,
2137,11,,,,,,,,,,
