id,year_id,appearances,clean_sheet,draws,goals,goal_assist,losses,wins,yellow_card,own_goals,red_card
424,9,33.0,10.0,10.0,,3.0,8.0,15.0,2.0,,
1414,9,,,,,,,,,,
1964,9,,,,,,,,,,
1756,9,2.0,0.0,,,,2.0,,,,
1438,9,,,,,,,,,,
1042,9,22.0,6.0,7.0,3.0,3.0,6.0,9.0,4.0,,
1692,9,18.0,3.0,4.0,9.0,3.0,4.0,10.0,1.0,,
1148,9,25.0,6.0,9.0,,,7.0,9.0,6.0,,
1776,9,3.0,0.0,3.0,,,,,,,
1653,9,,,,,,,,,,
356,9,23.0,7.0,6.0,1.0,,6.0,11.0,2.0,,
397,9,7.0,2.0,1.0,,,4.0,2.0,,,1.0
1976,9,,,,,,,,,,
1998,9,8.0,1.0,3.0,,,4.0,1.0,1.0,,
1356,9,14.0,0.0,5.0,3.0,3.0,5.0,4.0,1.0,,
1984,9,8.0,0.0,,1.0,1.0,7.0,1.0,1.0,,
1993,9,,,,,,,,,,
1430,9,,,,,,,,,,
1571,9,8.0,1.0,2.0,,,2.0,4.0,1.0,,
1879,9,,,,,,,,,,
1766,9,,,,,,,,,,
1880,9,,,,,,,,,,
1877,9,11.0,0.0,7.0,1.0,1.0,4.0,,3.0,,
1274,9,10.0,1.0,2.0,,,5.0,3.0,3.0,,
1131,9,2.0,0.0,,,,2.0,,,,
1971,9,12.0,2.0,2.0,1.0,,6.0,4.0,2.0,,1.0
1209,9,10.0,1.0,3.0,,,3.0,4.0,,,
1309,9,23.0,2.0,7.0,4.0,1.0,7.0,9.0,2.0,,
1303,9,2.0,0.0,1.0,1.0,,,1.0,,,
1150,9,,,,,,,,,,
1896,9,25.0,6.0,4.0,3.0,,8.0,13.0,4.0,1.0,
1298,9,12.0,1.0,3.0,,1.0,2.0,7.0,,,
997,9,,,,,,,,,,
1996,9,,,,,,,,,,
1132,9,30.0,12.0,7.0,5.0,4.0,7.0,16.0,5.0,,2.0
1909,9,34.0,7.0,6.0,17.0,4.0,9.0,19.0,5.0,,
1179,9,27.0,4.0,7.0,9.0,3.0,13.0,7.0,9.0,,
1725,9,,,,,,,,,,
1872,9,18.0,10.0,4.0,,,5.0,9.0,3.0,1.0,
1558,9,37.0,5.0,9.0,1.0,2.0,18.0,10.0,4.0,,
1830,9,,,,,,,,,,
1709,9,38.0,14.0,9.0,,,9.0,20.0,1.0,1.0,
932,9,33.0,3.0,10.0,4.0,4.0,20.0,3.0,9.0,,
228,9,18.0,2.0,6.0,1.0,,11.0,1.0,3.0,1.0,
1761,9,,,,,,,,,,
1682,9,7.0,0.0,2.0,1.0,1.0,4.0,1.0,,,
1668,9,19.0,2.0,7.0,,1.0,9.0,3.0,,,
1070,9,30.0,7.0,11.0,,,12.0,7.0,2.0,1.0,
245,9,27.0,3.0,13.0,1.0,1.0,8.0,6.0,3.0,1.0,
1711,9,27.0,4.0,5.0,2.0,9.0,7.0,15.0,2.0,,
1936,9,34.0,5.0,9.0,2.0,,17.0,8.0,2.0,,
720,9,34.0,4.0,9.0,,3.0,16.0,9.0,5.0,2.0,
1836,9,27.0,4.0,8.0,8.0,5.0,5.0,14.0,,,
1059,9,31.0,5.0,8.0,1.0,4.0,16.0,7.0,7.0,,
1030,9,30.0,2.0,7.0,,1.0,18.0,5.0,7.0,,
309,9,22.0,3.0,6.0,,,12.0,4.0,2.0,,
1726,9,,,,,,,,,,
11,9,33.0,5.0,10.0,1.0,1.0,14.0,9.0,7.0,,
1652,9,,,,,,,,,,
80,9,17.0,3.0,4.0,,1.0,4.0,9.0,,,
1585,9,,,,,,,,,,
1200,9,,,,,,,,,,
1672,9,32.0,5.0,7.0,5.0,2.0,19.0,6.0,12.0,,
1464,9,23.0,5.0,5.0,,,9.0,9.0,2.0,,
107,9,36.0,9.0,9.0,3.0,4.0,11.0,16.0,9.0,,
1727,9,16.0,2.0,4.0,1.0,2.0,4.0,8.0,3.0,,
1305,9,,,,,,,,,,
796,9,,,,,,,,,,
59,9,22.0,5.0,3.0,9.0,4.0,3.0,16.0,2.0,,
1565,9,14.0,3.0,1.0,1.0,,6.0,7.0,4.0,,
1534,9,,,,,,,,,,
1894,9,29.0,7.0,6.0,2.0,3.0,8.0,15.0,7.0,,
1844,9,,,,,,,,,,
583,9,35.0,9.0,8.0,,,14.0,13.0,1.0,,1.0
1895,9,28.0,10.0,3.0,1.0,,8.0,17.0,1.0,,1.0
1151,9,36.0,3.0,9.0,9.0,4.0,11.0,16.0,1.0,,
1690,9,15.0,1.0,6.0,1.0,,7.0,2.0,2.0,,
922,9,12.0,1.0,2.0,,,2.0,8.0,,,
1662,9,3.0,0.0,,,,2.0,1.0,,,
1304,9,,,,,,,,,,
1400,9,,,,,,,,,,
2,9,1.0,0.0,,,,1.0,,,,
1842,9,,,,,,,,,,
1407,9,7.0,1.0,2.0,,,3.0,2.0,,,
768,9,16.0,0.0,6.0,,,5.0,5.0,6.0,,
1620,9,2.0,0.0,,,,,2.0,,,
1506,9,,,,,,,,,,
23,9,38.0,8.0,15.0,6.0,6.0,10.0,13.0,2.0,,
1712,9,3.0,0.0,,,,1.0,2.0,,,
1542,9,,,,,,,,,,
72,9,36.0,9.0,15.0,1.0,4.0,9.0,12.0,3.0,,
1885,9,5.0,0.0,,,,3.0,2.0,1.0,,
855,9,1.0,0.0,,,,1.0,,,,
1003,9,11.0,0.0,1.0,,,7.0,3.0,3.0,,
1677,9,31.0,6.0,6.0,,3.0,9.0,16.0,2.0,,
1243,9,3.0,0.0,2.0,,,1.0,,,,
