id,year_id,appearances,clean_sheet,draws,goals,losses,own_goals,wins,yellow_card,goal_assist,red_card
805,2,4.0,0.0,,,4.0,,,,,1.0
376,2,41.0,10.0,17.0,5.0,13.0,,11.0,,4.0,
828,2,32.0,2.0,10.0,7.0,17.0,,5.0,3.0,5.0,
9,2,25.0,10.0,11.0,1.0,4.0,,10.0,2.0,1.0,
814,2,2.0,0.0,1.0,,1.0,,,,,
722,2,32.0,8.0,8.0,1.0,8.0,,16.0,3.0,,
478,2,40.0,8.0,16.0,1.0,16.0,,8.0,2.0,2.0,1.0
53,2,,,,,,,,,,
589,2,18.0,3.0,4.0,,6.0,,8.0,1.0,,
32,2,28.0,9.0,9.0,,10.0,,9.0,1.0,,
789,2,40.0,13.0,13.0,3.0,15.0,,12.0,,3.0,
749,2,1.0,0.0,,,,,1.0,,,
527,2,1.0,0.0,,,,,1.0,,,
136,2,27.0,9.0,11.0,,8.0,,8.0,1.0,1.0,
445,2,7.0,0.0,1.0,,2.0,,4.0,,,
51,2,2.0,0.0,,,2.0,,,,,
109,2,23.0,5.0,5.0,3.0,8.0,1.0,10.0,1.0,3.0,
130,2,29.0,9.0,9.0,,10.0,,10.0,,1.0,
513,2,40.0,6.0,15.0,19.0,10.0,,15.0,3.0,6.0,
661,2,,,,,,,,,,
819,2,,,,,,,,,,
227,2,,,,,,,,,,
427,2,11.0,1.0,2.0,,7.0,,2.0,1.0,1.0,
319,2,41.0,15.0,11.0,3.0,4.0,,26.0,2.0,2.0,
76,2,,,,,,,,,,
457,2,,,,,,,,,,
285,2,7.0,3.0,4.0,,1.0,,2.0,,2.0,
332,2,1.0,0.0,,,,,1.0,,,
256,2,29.0,10.0,8.0,1.0,9.0,,12.0,4.0,,
779,2,,,,,,,,,,
791,2,26.0,9.0,6.0,1.0,10.0,,10.0,3.0,1.0,
663,2,,,,,,,,,,
379,2,25.0,6.0,9.0,,7.0,,9.0,,1.0,
127,2,3.0,0.0,2.0,,1.0,,,,,
775,2,26.0,3.0,9.0,,10.0,,7.0,2.0,,1.0
25,2,37.0,15.0,16.0,15.0,6.0,,15.0,,4.0,
342,2,34.0,14.0,10.0,18.0,1.0,,23.0,2.0,12.0,2.0
115,2,20.0,3.0,7.0,4.0,9.0,,4.0,,1.0,
15,2,,,,,,,,,,
318,2,,,,,,,,,,
565,2,25.0,1.0,7.0,4.0,12.0,,6.0,2.0,3.0,
755,2,33.0,5.0,5.0,1.0,19.0,,9.0,1.0,,
246,2,30.0,10.0,11.0,7.0,11.0,,8.0,1.0,2.0,
659,2,,,,,,,,,,
265,2,,,,,,,,,,
723,2,29.0,9.0,6.0,2.0,9.0,,14.0,2.0,4.0,
411,2,27.0,7.0,6.0,7.0,10.0,,11.0,1.0,3.0,
106,2,7.0,1.0,2.0,1.0,4.0,,1.0,,,1.0
70,2,41.0,17.0,9.0,2.0,8.0,,24.0,6.0,8.0,
533,2,38.0,6.0,5.0,25.0,21.0,,12.0,5.0,9.0,
22,2,19.0,5.0,5.0,,8.0,,6.0,3.0,3.0,
12,2,21.0,12.0,7.0,,4.0,,10.0,,2.0,
6,2,,,,,,,,,,
831,2,33.0,3.0,12.0,1.0,17.0,,4.0,5.0,1.0,
293,2,23.0,6.0,11.0,,8.0,,4.0,1.0,1.0,
808,2,3.0,0.0,2.0,1.0,,,1.0,,,
549,2,29.0,6.0,9.0,,11.0,,9.0,1.0,1.0,
490,2,19.0,1.0,7.0,3.0,8.0,,4.0,,1.0,
757,2,15.0,3.0,4.0,,6.0,,5.0,,1.0,
118,2,,,,,,,,,,
530,2,41.0,6.0,7.0,7.0,22.0,,12.0,2.0,3.0,
780,2,1.0,0.0,,,1.0,,,,,
225,2,20.0,9.0,7.0,,5.0,,8.0,,,
835,2,1.0,0.0,1.0,,,,,,,
585,2,10.0,1.0,2.0,,6.0,,2.0,,,
832,2,12.0,1.0,3.0,,9.0,,,,,
443,2,,,,,,,,,,
759,2,24.0,1.0,7.0,4.0,13.0,,4.0,,,
10,2,,,,,,,,,,
259,2,11.0,1.0,4.0,,3.0,,4.0,,1.0,
281,2,,,,,,,,,,
68,2,23.0,7.0,5.0,,4.0,,14.0,1.0,,
812,2,7.0,0.0,2.0,,3.0,,2.0,1.0,,
85,2,2.0,0.0,1.0,,1.0,,,,,
316,2,1.0,1.0,,,,,1.0,,,
238,2,42.0,18.0,16.0,8.0,8.0,,18.0,3.0,5.0,
264,2,35.0,8.0,11.0,2.0,12.0,1.0,12.0,2.0,4.0,
424,2,27.0,4.0,7.0,1.0,13.0,,7.0,,,2.0
67,2,40.0,15.0,9.0,1.0,8.0,,23.0,,,
114,2,,,,,,,,,,
