id,year_id,appearances,clean_sheet,draws,losses,wins,goal_assist,yellow_card,goals,red_card,own_goals
153,7,38.0,15.0,10.0,13.0,15.0,,5.0,1.0,,1.0
1649,7,7.0,1.0,1.0,5.0,1.0,,1.0,,,
1570,7,13.0,0.0,3.0,6.0,4.0,1.0,3.0,,,
41,7,31.0,4.0,7.0,10.0,14.0,,2.0,,,
1360,7,27.0,3.0,7.0,14.0,6.0,2.0,2.0,2.0,,
359,7,16.0,1.0,8.0,5.0,3.0,,1.0,2.0,1.0,
1597,7,29.0,2.0,10.0,11.0,8.0,5.0,,6.0,,
1362,7,,,,,,,,,,
1095,7,11.0,4.0,2.0,5.0,4.0,,2.0,,1.0,
708,7,24.0,7.0,5.0,11.0,8.0,,1.0,,1.0,
1164,7,14.0,3.0,4.0,3.0,7.0,2.0,6.0,,,
1580,7,30.0,8.0,10.0,2.0,18.0,1.0,5.0,1.0,,
111,7,9.0,2.0,2.0,5.0,2.0,1.0,2.0,3.0,,
406,7,36.0,7.0,10.0,20.0,6.0,6.0,6.0,3.0,1.0,
1435,7,,,,,,,,,,
583,7,38.0,7.0,12.0,16.0,10.0,,4.0,,,
390,7,17.0,3.0,6.0,7.0,4.0,1.0,9.0,3.0,1.0,
880,7,13.0,3.0,6.0,3.0,4.0,,1.0,,1.0,
1295,7,,,,,,,,,,
117,7,3.0,0.0,1.0,2.0,,,,,,
1592,7,4.0,0.0,1.0,3.0,,,1.0,,,
847,7,33.0,11.0,10.0,9.0,14.0,4.0,7.0,4.0,,
1584,7,19.0,7.0,7.0,5.0,7.0,3.0,3.0,,,
1033,7,32.0,6.0,8.0,14.0,10.0,,11.0,2.0,,
1075,7,11.0,2.0,4.0,4.0,3.0,,4.0,,,
1178,7,29.0,6.0,11.0,9.0,9.0,4.0,3.0,5.0,,
1353,7,2.0,0.0,,,2.0,,,,,
1019,7,25.0,3.0,7.0,9.0,9.0,3.0,6.0,2.0,,
