id,year_id,appearances,clean_sheet,draws,goals,losses,wins,goal_assist,yellow_card,own_goals,red_card
2755,14,32.0,8.0,6.0,5.0,11.0,15.0,8.0,3.0,,
2939,14,,,,,,,,,,
2804,14,3.0,1.0,1.0,,,2.0,,1.0,,
1882,14,7.0,2.0,2.0,,3.0,2.0,,1.0,,
2931,14,1.0,0.0,,,1.0,,,,,
2123,14,5.0,0.0,2.0,,,3.0,1.0,,,
1396,14,20.0,9.0,7.0,,7.0,6.0,,,,
2637,14,22.0,1.0,4.0,,5.0,13.0,,1.0,,
2994,14,,,,,,,,,,
2032,14,29.0,12.0,9.0,,9.0,11.0,,2.0,1.0,
2298,14,,,,,,,,,,
2974,14,30.0,1.0,3.0,,24.0,3.0,,5.0,,
2550,14,36.0,5.0,8.0,6.0,18.0,10.0,2.0,2.0,,
2897,14,20.0,5.0,5.0,,8.0,7.0,,3.0,,
3001,14,4.0,0.0,3.0,,1.0,,,,,
1927,14,,,,,,,,,,
2018,14,35.0,13.0,5.0,1.0,12.0,18.0,,10.0,,1.0
1519,14,26.0,1.0,6.0,1.0,6.0,14.0,,2.0,,
2177,14,4.0,2.0,,,2.0,2.0,,,,1.0
3014,14,5.0,0.0,1.0,,2.0,2.0,,2.0,,
2625,14,1.0,0.0,,,1.0,,,,,
2660,14,,,,,,,,,,
2040,14,36.0,14.0,10.0,9.0,11.0,15.0,4.0,7.0,,
2209,14,27.0,2.0,7.0,1.0,10.0,10.0,2.0,1.0,,
2628,14,,,,,,,,,,
2634,14,31.0,12.0,6.0,,10.0,15.0,1.0,4.0,,
1717,14,34.0,13.0,7.0,1.0,4.0,23.0,2.0,5.0,,
2647,14,23.0,9.0,6.0,,6.0,11.0,,2.0,,
2968,14,2.0,0.0,,,2.0,,,,,
2329,14,9.0,4.0,,,2.0,7.0,,,,
2867,14,,,,,,,,,,
64134,14,,,,,,,,,,
2879,14,,,,,,,,,,
2855,14,4.0,1.0,1.0,,2.0,1.0,,,,
1208,14,11.0,4.0,2.0,7.0,3.0,6.0,1.0,,,
2728,14,10.0,1.0,1.0,,4.0,5.0,,1.0,,
2214,14,,,,,,,,,,
2389,14,31.0,1.0,6.0,5.0,19.0,6.0,,,,
2419,14,4.0,0.0,1.0,,3.0,,,,,
2909,14,6.0,0.0,2.0,,2.0,2.0,,,,
2802,14,10.0,0.0,,,6.0,4.0,,1.0,,
2910,14,12.0,2.0,,,6.0,6.0,3.0,1.0,,
2434,14,30.0,3.0,4.0,1.0,11.0,15.0,3.0,2.0,,
1445,14,,,,,,,,,,
2383,14,,,,,,,,,,
2955,14,20.0,4.0,1.0,2.0,9.0,10.0,2.0,4.0,,
3020,14,,,,,,,,,,
1887,14,35.0,6.0,7.0,3.0,15.0,13.0,4.0,2.0,,
1772,14,33.0,4.0,7.0,2.0,13.0,13.0,5.0,1.0,,
1118,14,10.0,1.0,4.0,1.0,5.0,1.0,,,1.0,
2612,14,18.0,3.0,3.0,,5.0,10.0,2.0,,,
2890,14,31.0,14.0,2.0,2.0,3.0,26.0,1.0,5.0,,
1503,14,,,,,,,,,,
2934,14,11.0,1.0,2.0,,3.0,6.0,,1.0,,
2948,14,22.0,3.0,5.0,2.0,10.0,7.0,3.0,4.0,,
2648,14,8.0,0.0,5.0,1.0,1.0,2.0,,2.0,,
2417,14,35.0,9.0,6.0,3.0,10.0,19.0,5.0,5.0,,1.0
2898,14,8.0,1.0,1.0,,4.0,3.0,,2.0,,
2657,14,,,,,,,,,,
859,14,15.0,7.0,2.0,,4.0,9.0,,,,
1943,14,27.0,7.0,6.0,1.0,4.0,17.0,2.0,3.0,,
2131,14,1.0,0.0,,,1.0,,,,,
2525,14,,,,,,,,,,
1111,14,37.0,17.0,8.0,3.0,5.0,24.0,,,,1.0
