id,year_id,appearances,clean_sheet,draws,losses,wins,goals,goal_assist,yellow_card,own_goals,red_card
1513,12,1.0,0.0,,1.0,,,,,,
684,12,1.0,0.0,,1.0,,,,,,
1218,12,36.0,13.0,9.0,16.0,11.0,,,,,
2247,12,6.0,0.0,1.0,3.0,2.0,1.0,,1.0,,
2219,12,,,,,,,,,,
1688,12,1.0,0.0,,1.0,,,,,,
2085,12,26.0,0.0,4.0,13.0,9.0,4.0,2.0,3.0,,
2183,12,,,,,,,,,,
1201,12,15.0,1.0,8.0,6.0,1.0,,2.0,,,
336,12,28.0,7.0,5.0,5.0,18.0,9.0,3.0,5.0,,
2502,12,,,,,,,,,,
2087,12,,,,,,,,,,
2241,12,,,,,,,,,,
2268,12,,,,,,,,,,
706,12,31.0,10.0,13.0,9.0,9.0,3.0,4.0,13.0,,
2496,12,,,,,,,,,,
2265,12,,,,,,,,,,
709,12,,,,,,,,,,
1946,12,,,,,,,,,,
1833,12,,,,,,,,,,
1045,12,23.0,2.0,6.0,11.0,6.0,1.0,4.0,,1.0,
1598,12,33.0,4.0,7.0,11.0,15.0,20.0,7.0,1.0,,
1147,12,4.0,0.0,,3.0,1.0,,,,,
2591,12,,,,,,,,,,
1505,12,38.0,12.0,11.0,12.0,15.0,2.0,4.0,6.0,,
1980,12,14.0,2.0,3.0,7.0,4.0,,1.0,5.0,1.0,
2412,12,,,,,,,,,,
660,12,29.0,6.0,12.0,14.0,3.0,1.0,2.0,5.0,,1.0
2478,12,17.0,1.0,3.0,12.0,2.0,1.0,1.0,3.0,,
1413,12,30.0,8.0,6.0,5.0,19.0,12.0,5.0,6.0,,
2224,12,,,,,,,,,,
1,12,19.0,3.0,7.0,7.0,5.0,,,,,
1517,12,,,,,,,,,,
2508,12,,,,,,,,,,
2588,12,,,,,,,,,,
2161,12,,,,,,,,,,
884,12,35.0,6.0,13.0,17.0,5.0,5.0,3.0,2.0,,1.0
2046,12,,,,,,,,,,
1934,12,34.0,5.0,14.0,12.0,8.0,7.0,2.0,2.0,,1.0
89,12,37.0,11.0,17.0,7.0,13.0,22.0,4.0,1.0,,
78,12,13.0,0.0,2.0,8.0,3.0,,1.0,6.0,,
1962,12,26.0,2.0,9.0,7.0,10.0,7.0,2.0,,,
2494,12,,,,,,,,,,
1931,12,,,,,,,,,,
1037,12,19.0,6.0,3.0,9.0,7.0,1.0,,1.0,,
1719,12,34.0,11.0,5.0,9.0,20.0,,1.0,2.0,,
2513,12,33.0,2.0,12.0,13.0,8.0,5.0,4.0,1.0,,
2582,12,9.0,0.0,1.0,8.0,,,,,,
2411,12,,,,,,,,,,
576,12,32.0,6.0,7.0,14.0,11.0,9.0,4.0,5.0,,
2288,12,15.0,0.0,5.0,3.0,7.0,2.0,1.0,,,
1908,12,,,,,,,,,,
103,12,14.0,1.0,3.0,8.0,3.0,1.0,1.0,2.0,,
2484,12,,,,,,,,,,
2452,12,26.0,3.0,7.0,11.0,8.0,,,3.0,,
2146,12,,,,,,,,,,
2414,12,,,,,,,,,,
1554,12,1.0,0.0,,1.0,,,,,,
1803,12,,,,,,,,,,
2334,12,,,,,,,,,,
1217,12,13.0,0.0,3.0,4.0,6.0,,2.0,2.0,,
2295,12,18.0,3.0,7.0,7.0,4.0,1.0,,3.0,,
2518,12,,,,,,,,,,
708,12,3.0,1.0,1.0,2.0,,,,,,
2004,12,,,,,,,,,,
2416,12,,,,,,,,,,
1862,12,2.0,0.0,,,2.0,,,,,
1832,12,,,,,,,,,,
2113,12,,,,,,,,,,
2485,12,,,,,,,,,,
2436,12,13.0,3.0,2.0,5.0,6.0,6.0,,,,
239,12,38.0,9.0,17.0,8.0,13.0,3.0,3.0,7.0,,
153,12,27.0,11.0,7.0,11.0,9.0,1.0,2.0,1.0,,
2263,12,,,,,,,,,,
1584,12,2.0,0.0,1.0,1.0,,,,,,
1828,12,,,,,,,,,,
1708,12,25.0,5.0,10.0,10.0,5.0,1.0,2.0,1.0,,
1095,12,32.0,5.0,6.0,14.0,12.0,3.0,,4.0,,1.0
2077,12,,,,,,,,,,
1974,12,11.0,2.0,2.0,6.0,3.0,,,,,
1295,12,,,,,,,,,,
1853,12,3.0,0.0,1.0,1.0,1.0,,,,,
880,12,32.0,5.0,6.0,16.0,10.0,1.0,1.0,10.0,,
1749,12,3.0,0.0,1.0,,2.0,,,,,
2439,12,,,,,,,,,,
2045,12,,,,,,,,,,
2296,12,33.0,6.0,12.0,12.0,9.0,1.0,5.0,8.0,1.0,
1017,12,27.0,7.0,8.0,11.0,8.0,,,3.0,,
1353,12,33.0,16.0,5.0,6.0,22.0,2.0,2.0,5.0,1.0,
111,12,28.0,3.0,8.0,10.0,10.0,3.0,1.0,,,
2338,12,,,,,,,,,,
2290,12,4.0,0.0,1.0,3.0,,,,,,
